Rank,ID,Ticker,Name,Industry,Close,MA5,F_Hist_Vol,F_BB_Width,F_P_to_MA60,F_Trend_Strength,F_P_to_MA20,F_P_to_BBUpper,F_ROC_10,F_Hist_Vol_Rank,F_BB_Width_Rank,F_P_to_MA60_Rank,F_Trend_Strength_Rank,F_P_to_MA20_Rank,F_P_to_BBUpper_Rank,F_ROC_10_Rank,AI_Score,Updated_At
1,6226,6226.TW,光鼎,光電業,43.849998474121094,36.60999984741211,117.12259959491576,64.64709527826528,73.93315852185336,45.21535070754843,37.94730111699347,4.250002042869716,37.03124523162842,0.998274374460742,0.994823123382226,0.9987057808455565,0.996548748921484,0.999137187230371,0.9956859361518551,0.9956859361518551,99.71502874017183,2026-09-17 14:19:51
2,3441O,3441.TWO,聯一光,光電業,192.5,174.9,96.5955873100704,64.84763078445478,94.25476797187619,76.49433204301894,35.587251276633225,2.388872330128855,48.07692307692308,0.9909404659188956,0.9952545297670405,1.0,0.9995685936151855,0.997411561691113,0.9874892148403797,0.9987057808455565,99.46254668635544,2026-09-17 14:19:51
3,2221O,2221.TWO,大甲,其他業,116.0,100.58000030517579,84.42723691146765,67.24833049564658,90.46837209449691,65.14921485681755,37.05103975931101,2.564561960130596,26.775956284153008,0.9762726488352028,0.9961173425366695,0.9995685936151855,0.9987057808455565,0.9987057808455565,0.9896462467644521,0.9879206212251941,98.92514011229754,2026-09-17 14:19:51
4,7717O,7717.TWO,萊德光電-KY,通信網路業,579.0,517.9,90.15527025972742,44.88973836254243,32.04104903078677,18.107183580387677,26.550461723403096,3.353013131202598,41.56479217603912,0.9853321829163072,0.9823123382226057,0.9887834339948232,0.9715271786022434,0.994823123382226,0.9926660914581535,0.996548748921484,98.56392100677486,2026-09-17 14:19:51
5,2305,2305.TW,全友,電腦及週邊設備業,54.29999923706055,46.970000457763675,77.435431821158,92.7035420287034,62.997796295690954,40.99459805144412,56.06811499494606,6.639034097948526,80.39866627539617,0.9616048317515099,0.999137187230371,0.997411561691113,0.9956859361518551,1.0,0.9987057808455565,1.0,98.55570003281116,2026-09-17 14:19:51
6,6426,6426.TW,統新,通信網路業,363.0,321.4,78.57846298471883,46.8996686498786,65.1877133105802,46.25711035267348,27.334911865298615,3.1470901209418978,36.72316384180791,0.9667817083692839,0.9853321829163072,0.9978429680759275,0.9969801553062986,0.9956859361518551,0.9922346850733391,0.9952545297670405,98.33140194974705,2026-09-17 14:19:51
7,6179O,6179.TWO,亞通,其他業,41.45000076293945,36.83000030517578,78.08993583202508,53.29343734017106,47.264332146033674,30.8503087587229,29.78473703834783,2.4777731323911034,41.95205369839463,0.9654874892148404,0.9892148403796376,0.9952545297670405,0.9926660914581535,0.996548748921484,0.9879206212251941,0.997411561691113,98.29637841948113,2026-09-17 14:19:51
8,2033,2033.TW,佳大,鋼鐵工業,30.850000381469727,27.889999771118163,84.89137095762797,34.932944087589284,55.70323229820042,40.76379447202727,20.649200311074623,2.7094780424608,20.743645020237306,0.9775668679896462,0.9659188955996548,0.996548748921484,0.994823123382226,0.9909404659188956,0.9900776531492667,0.9818809318377912,98.09800003386022,2026-09-17 14:19:51
9,7799,7799.TW,禾榮科,生技醫療業,502.0,441.4,75.10922418181465,39.3761381157446,29.04884318766068,13.470437017994863,28.487330432556956,7.351828335061517,42.61363636363637,0.956427955133736,0.9745470232959448,0.9861949956859362,0.9551337359792925,0.9961173425366695,1.0,0.9978429680759275,97.2505178486537,2026-09-17 14:19:51
10,1709,1709.TW,和益,化學工業,42.95000076293945,37.95,93.72570019077918,25.77632200279937,46.45374189726683,29.40440992487885,21.01148305825964,7.195902550630828,28.40059725955348,0.9879206212251941,0.9081104400345125,0.9943917169974116,0.99137187230371,0.9918032786885246,0.9995685936151855,0.9918032786885246,97.17288858850914,2026-09-17 14:19:51
11,6620O,6620.TWO,漢達,生技醫療業,147.0,130.8,89.05110904490192,90.790772273658,56.25553567339079,39.0355378644865,40.48836349455447,-3.3749507275675383,50.0,0.9844693701466781,0.9987057808455565,0.9969801553062986,0.9943917169974116,0.9995685936151855,0.6018119068162209,0.999137187230371,96.88862880905558,2026-09-17 14:19:51
12,7772O,7772.TWO,耀穎,半導體業,146.0,133.4,81.09067336859655,76.43741464412118,38.67342109513918,26.705714891038124,34.06179707293606,-3.0074874303653965,46.733668341708544,0.9710957722174288,0.9969801553062986,0.9922346850733391,0.9892148403796376,0.9969801553062986,0.6345987920621226,0.998274374460742,96.44701761448833,2026-09-17 14:19:51
13,6221O,6221.TWO,晉泰,資訊服務業,28.649999618530273,26.95999984741211,64.81479647310421,45.048232643652206,29.034677870327364,21.423209145346412,23.905285714907333,1.1272632968463148,33.25581217921057,0.9206212251941329,0.9827437446074202,0.9857635893011216,0.9788610871440897,0.993960310612597,0.9805867126833477,0.994823123382226,96.24820818601275,2026-09-17 14:19:51
14,6617O,6617.TWO,共信-KY,生技醫療業,143.0,132.4,76.12634523795468,29.080122745981956,37.3261417177247,27.14672142256469,14.194449990017976,-0.30173843005684153,25.991189427312776,0.9594477998274374,0.9327006039689387,0.99137187230371,0.9896462467644521,0.9801553062985332,0.9439171699741156,0.9874892148403797,96.22978240229634,2026-09-17 14:19:51
15,3467O,3467.TWO,台灣精材,半導體業,73.5,67.78000030517578,60.44458431778725,65.42898974432033,40.21811781931084,29.305905695021252,36.054422152996565,2.516625847126708,41.89189398175529,0.899913718723037,0.9956859361518551,0.9935289042277826,0.9905090595340811,0.9978429680759275,0.9887834339948232,0.9969801553062986,96.12433270151799,2026-09-17 14:19:51
16,3605,3605.TW,宏致,電子零組件業,140.0,131.3,86.10671252855045,28.923158387410474,33.649424700365735,25.344067593985862,12.653389660028157,-1.5797349175281306,22.270742358078603,0.9801553062985332,0.9318377911993098,0.9896462467644521,0.9870578084555651,0.9736842105263158,0.82053494391717,0.9840379637618637,96.05890247349006,2026-09-17 14:19:51
17,8227O,8227.TWO,巨有科技,半導體業,258.0,251.9,86.92911437559432,86.71900848630042,49.96367159118431,46.41801889077259,36.670639650377424,-4.665797798399119,64.85623003194888,0.9814495254529767,0.9978429680759275,0.9956859361518551,0.997411561691113,0.998274374460742,0.48360655737704916,0.9995685936151855,96.04114143056162,2026-09-17 14:19:51
18,8103,8103.TW,瀚荃,電子零組件業,132.0,118.4,75.77362467648516,32.60966581413308,39.38508672429357,25.024199001184556,14.79758244568179,-1.2959482626049734,9.090909090909092,0.9577221742881795,0.957290767903365,0.9930974978429681,0.9866264020707507,0.9831751509922347,0.8524590163934426,0.9391716997411562,95.95407077391302,2026-09-17 14:19:51
19,6218O,6218.TWO,豪勉,通信網路業,56.0,49.80999984741211,58.94074646846725,43.929095370083324,46.74411600081794,30.52364992159582,27.121049409130006,4.227869345610458,31.455403769601592,0.8917169974115617,0.9810181190681622,0.994823123382226,0.9922346850733391,0.9952545297670405,0.9952545297670405,0.9943917169974116,95.53198633999224,2026-09-17 14:19:51
20,6683O,6683.TWO,雍智科技,半導體業,1575.0,1449.0,86.60661569123616,45.19556105326042,17.45550362931292,8.059063338967887,19.61268274159864,-2.4348709839679072,13.718411552346572,0.9805867126833477,0.9836065573770492,0.959879206212252,0.9115616911130284,0.9892148403796376,0.6962899050905953,0.9667817083692839,95.49541001679196,2026-09-17 14:19:51
21,6148O,6148.TWO,驊宏資,資訊服務業,36.25,35.1,61.47158483973748,45.17222545465809,22.407631325002765,18.524354745037176,21.57290174163431,-0.8265299903492562,30.630630630630627,0.9081104400345125,0.9831751509922347,0.9771354616048318,0.9728213977566867,0.9922346850733391,0.903364969801553,0.9935289042277826,95.16173610767055,2026-09-17 14:19:51
22,1528,1528.TW,恩德,電機機械,24.100000381469727,23.64000015258789,70.81322704159749,41.89551948885406,18.505165630657892,16.243240217756384,18.311244006066786,-2.179879762908732,28.877002129498564,0.9452113891285591,0.9784296807592753,0.9633304572907679,0.9659188955996548,0.9887834339948232,0.7372735116479724,0.9922346850733391,95.05920503441433,2026-09-17 14:19:51
23,6885,6885.TW,全福生技,生技醫療業,29.5,27.600000381469727,58.406653724896906,40.383748110794016,32.94276647890118,24.38035272987502,20.273162028244695,0.06763183741542722,26.881720430107524,0.8904227782571182,0.9758412424503883,0.9892148403796376,0.9844693701466781,0.9900776531492667,0.9620362381363244,0.9883520276100086,94.94468785382514,2026-09-17 14:19:51
24,2413,2413.TW,環科,電子零組件業,53.099998474121094,51.01999969482422,70.78844304699514,32.373143976768205,19.74742202038886,15.056753493387953,14.353394311641065,-1.5777879021392494,27.4909880642569,0.9447799827437446,0.953839516824849,0.9663503019844694,0.9607420189818809,0.9810181190681622,0.8209663503019845,0.9900776531492667,94.89578785961046,2026-09-17 14:19:51
25,6291O,6291.TWO,沛亨,半導體業,517.0,479.6,66.67937279429104,37.76115759589176,21.835784843188467,13.022132322617397,17.260149693808135,-1.3630730271694702,12.882096069868995,0.9292493528904228,0.9702329594477999,0.9741156169111302,0.952113891285591,0.9870578084555651,0.8468507333908541,0.9637618636755824,94.82779214760401,2026-09-17 14:19:51
26,3094,3094.TW,聯傑,半導體業,47.0,43.74000015258789,71.15841844321125,28.333377498607028,21.23296473068772,12.824040336573672,13.485452235400853,-0.5967034004100591,11.11111311515489,0.9465056082830026,0.9288179465056083,0.9715271786022434,0.9503882657463331,0.9779982743744607,0.9275237273511648,0.953839516824849,94.78423085284268,2026-09-17 14:19:51
27,2468,2468.TW,華經,資訊服務業,41.70000076293945,40.75,67.70034654027775,40.50848416533704,17.993824925370603,15.305714094426248,17.938205183932745,-1.925950268884169,27.134151624683096,0.9335634167385677,0.9762726488352028,0.9616048317515099,0.9620362381363244,0.9883520276100086,0.7739430543572045,0.9887834339948232,94.74708326802774,2026-09-17 14:19:51
28,4924O,4924.TWO,欣厚-KY,綠能環保,14.25,13.410000038146972,73.59905738372662,57.55358006609199,27.51868059299616,20.001790288879295,23.28056094795079,-4.268027711891865,30.733949529453575,0.951251078515962,0.99137187230371,0.9853321829163072,0.9758412424503883,0.9935289042277826,0.5202761000862812,0.993960310612597,94.65927516456748,2026-09-17 14:19:51
29,6168,6168.TW,宏齊,光電業,35.349998474121094,31.230000305175782,61.67854520696041,27.673091253835874,31.315001699195875,16.010402267549395,21.59256489031631,6.813294641614975,28.07970284614421,0.909404659188956,0.9236410698878343,0.9883520276100086,0.9641932700603969,0.9926660914581535,0.999137187230371,0.9905090595340811,94.45748998240823,2026-09-17 14:19:51
30,6173O,6173.TWO,信昌電,電子零組件業,303.5,299.3,91.57910071107636,56.92334715714734,31.13455514348469,29.319843012998238,17.578692493946726,-8.471772771954711,25.933609958506228,0.9861949956859362,0.9905090595340811,0.9879206212251941,0.9909404659188956,0.9874892148403797,0.2515099223468507,0.9866264020707507,94.2971212673117,2026-09-17 14:19:51
31,6933,6933.TW,AMAX-KY,電腦及週邊設備業,345.5,314.3,102.56099155170747,73.03650834240753,68.8179486135429,53.57302821776131,20.941629474052668,-11.409920813678786,14.403973509933774,0.9943917169974116,0.996548748921484,0.998274374460742,0.9978429680759275,0.99137187230371,0.13805004314063848,0.9693701466781708,94.16827061348198,2026-09-17 14:19:51
32,00715L,00715L.TW,期街口S&P布蘭特油正2,nan,69.0,68.91000061035156,74.16141867000454,55.665061560244034,45.277940511810066,45.08844883100651,20.177653204568102,-5.9882077972160825,21.052631578947366,0.952113891285591,0.9900776531492667,0.993960310612597,0.9961173425366695,0.9896462467644521,0.37661777394305435,0.9823123382226057,93.98072023210253,2026-09-17 14:19:51
33,6147O,6147.TWO,頎邦,半導體業,209.5,197.4,70.77883686183318,29.672863694896783,17.246525510679977,10.474769144669338,13.120950323974089,-1.4938478110789744,10.846560846560847,0.9443485763589301,0.9352890422778257,0.9590163934426229,0.9344262295081968,0.9767040552200172,0.8300258843830889,0.9525452976704055,93.94010353130042,2026-09-17 14:19:51
34,6945O,6945.TWO,圓祥生技,生技醫療業,124.0,110.36000061035156,59.536336844337924,30.93148777380503,22.364395508820056,8.904312605150654,21.70584409595766,5.404287019678544,27.310059607189586,0.8955996548748921,0.9439171699741156,0.9762726488352028,0.9176013805004314,0.9930974978429681,0.997411561691113,0.9892148403796376,93.85133986295745,2026-09-17 14:19:51
35,2338,2338.TW,光罩,半導體業,48.79999923706055,48.26999969482422,68.0350945224225,41.6357419231817,14.531583678760018,13.287696632236369,17.180932575731745,-3.0102652504241934,28.252300172267926,0.9348576358930112,0.9775668679896462,0.9460742018981881,0.9542709232096636,0.9866264020707507,0.634167385677308,0.99137187230371,93.69826252337886,2026-09-17 14:19:51
